Respondent_Serial,NPS2
111671,"channel guide is clunky, DVR chintzy, service so, so, we've gone through 2 set stop boxes and 3 dvr's in about 2 yrs, equipement is expensive but low quality"
111672,im not sure
111681,"Service is generally good...not exceptional. 
Internet is reliable BUT hate the way our email works now.
Also, price could be better."
111682,
111686,is good
111688,"They screwed up the cutover from Verizon, but they are getting things back on track.  Unless they drop the ball again, Ill probably stay with them.  For now, though, I'm not inclined to recommend them.  I touted Verizon for years; it'll take some time for Frontier to rise that level of support."
111691,
111696,Took a  over month to get the internet hooked up w/Verizon even though they were notified 2 weeks before I moved
111698,
111706,I think it is appropriate based on my experience
111712,Friends have had problems with their service.
111718,
111720,Service cuts out regularly; internet cuts out frequently. Their policy regarding vacation hiatus is a rip off...once every 10 months....so if you have two homes you are forced to double pay and then the 10 month cycle doesn't sync up and you get screwed further double paying when you don't use the service.
111722,Been a long time customer and had no problems with any of my services
111726,
111727,
111745,
111746,expensive
111751,they provide excellent service
111759,is good
111761,no problems
111762,Great service with few issues
111764,I like the service. It's the best I've ever had.
111771,had a lot of trouble getting good service
111776,NOT TO RELIABLE SERVICE AT TIMES.
111781,Great value
111782,Is a very good company
111786,
111791,I've had issues with losing my tv service when the weather is bad
111795,good service
111797,not as good as it use to be
111803,SLIGHTLY BETTER THAN AVERAGE
111804,terrible service
111810,I like Century Link.  I haven't had too many problems with them.
111815,
111829,Excellent Price
111830,i have always been useing time warner so why change
111834,
111836,
111837,"My service is OK for the most part.  It is a little high priced, but is OK."
111838,"Sometimes the internet is very slow, other times fast. The TV freezes often, sometimes blinks in and out. No problems with telephone."
111846,They have a good service but it is costly.
111847,Goid rates
111848,Cox Communications are a good reliable service yet they mislead you on sign-up then charge you for things they said you would not be charged for.
111850,trashtrashtrashtrashtrashtrashtrashtrashtrashtrashtrashtrashtrashtrashtrashtrashtrashtrashtrash
111852,at&t
111853,very good value
111856,
111857,excellent reputation and reliability
111858,they have been more up front with us than any other services
111860,
111863,very good value
111864,good rating
111867,
111869,I think their basic rates are high; had some problem with their customer service in the past
111875,"so so service, cost"
111879,
111881,provides excellent service for all products available
111886,If the cable goes out then the phone is out of service
111888,They've always been good to us. Customer service is very efficient and they work to quickly solve problems when they happen.
